fund540006,fund000057,fund000082,fund000003,fund000067,fund000017,fund000083
-2.430965,-4.17434,-3.279833,-1.142132,-1.185185,-3.393665,-3.952802
0.37014,-1.092896,-0.208914,-0.126743,-0.147929,-0.674157,-1.653612
0.986813,1.229256,0.913563,-0.126582,0.296736,1.482326,2.345606
0.768396,0.867948,1.137171,-1.618929,-0.589971,1.681159,0.148677
0.405422,-1.526252,-0.915493,-0.248447,0,-1.372213,-0.473513
0.605729,1.486989,0.995733,-0.124069,0,2.280702,2.084592
-0.236859,0,-0.846262,-1.346389,-0.440529,-0.754498,0.242277
-0.58566,-1.884498,-0.70028,-0.2442,-0.292826,-1.486564,-1.872214
0.877059,0.611621,0.847458,0.367647,0.293686,0.344234,-0.148368
0.717725,1.869159,0.854701,0.2457,0.442478,1.573427,2.431611
0.521058,1.453856,0.71736,0.123001,0.14771,0.822562,0.673195
-0.141626,-0.565682,-0.286123,0.37037,0.147929,-0.351288,-0.72904
0.806952,0.378549,0.647948,0,0.296736,0.234742,0.030386
0.49593,2.390181,1.239067,0,0,1.549464,2.555313
-0.512009,0.389105,-0.435414,-0.4914,-0.443131,0.358852,-0.279677
-0.216745,-0.064809,-0.577201,-0.488998,-0.294551,-0.59453,0.374298
-1.069076,-0.194049,-0.359454,-0.1221,0.147493,-0.059418,-0.681537
-0.384486,-0.193673,0.288392,0.122249,0.14771,0.537634,-0.431832
-0.38907,-0.128949,-0.359195,-1.207729,-0.878477,-0.711744,0.030855
0.066916,0.779727,0.143885,0.363636,-0.437318,1.322115,2.046599
-0.484305,0.588235,-0.071891,0,0,1.09356,0.953592
0.300565,0.327869,0.65123,0.121359,0.292398,0.365854,0.962773
0.601692,0.394997,0.436047,0,0.146413,0,0.451322
0.722943,0.729443,0.437956,-0.121212,0.146628,0.490196,1.042345
-0.12904,-0.462046,0.073046,0.243013,0.441826,0.2457,-1.317904
-0.202367,0.264725,-0.072993,-0.483676,-0.439883,0.123001,0.484496
0.919021,1.409396,0.439883,-0.481348,-0.146413,0.37037,1.209546
0.061925,0.201748,0.220426,0.120482,0,0,0.790774
-0.32713,-0.468541,-0.146735,0.484262,-0.146199,-0.735294,-0.131622
-0.049354,0.809717,0.442152,0.121212,-0.145985,0.678593,0
0.421274,-0.134771,0.221566,0.364964,0.146199,-0.307503,0.46281
0.148906,0.542005,0.370645,0.243902,0.293255,0.246609,1.306095
0.351784,0.271739,0.222883,0.1221,0.738552,0.123457,0.403497
0.873006,0.615174,0.975244,0.244798,0.594354,0.997506,1.814447
0.330823,0.342936,0.908403,0.615764,0.447761,0.25,0.932965
0.202052,0.899654,-0.226586,-0.123001,-0.445765,0.250627,0.521014
-0.075712,0.347222,0.151286,0.37037,0.298063,0.567108,0.069517
-0.003155,-0.2079,0.0757,0,0,0.50665,-0.449827
-0.05675,0.069348,-0.527108,-0.735294,-1.323529,-0.504096,-0.069156
0.113629,0.487805,0.075358,-0.487805,-0.439239,-0.8125,0.801673
0.154902,-0.416378,-0.375375,-0.121803,-0.291971,-0.621118,0.20957
0.18369,0.558269,0.37679,0,0,0.877193,0.632689
-0.375465,-1.035912,-0.075301,0,0,-0.684505,-0.420021
0.364166,0.835655,0.758725,-0.121655,0.146199,1.45202,0.74048
-0.378561,0,-0.302572,0,-0.436681,-1.061836,0.889363
-0.132321,-0.416089,-0.226415,-0.724638,-0.434783,-0.559006,-0.212993
0.262177,0.487805,0.378788,0,-0.144718,0.625,1.076426
0.012637,0.772472,0.151745,-0.480769,-0.432277,0.062539,0.613718
0.063223,0.28169,0.228137,0.120337,-0.143885,1.266624,-0.036088
0.240826,-0.210822,0.152323,-0.120192,0,-0.189633,-0.538406
-0.723543,-0.905292,-0.680787,0.120337,0.144092,-0.752823,-0.464452
-0.260425,-0.622837,0.0757,-0.120192,-0.143885,0.125628,-0.142704
-0.087777,0.277585,0.303721,0.361882,0,0.251889,0.501972
0.504112,0.278358,0.381098,-0.120482,-0.143678,-0.313873,-0.071659
0.278032,0.139373,0.536398,-0.240385,-0.143472,0.504732,-0.107373
-0.20809,-0.416378,0,0.483092,-0.286123,0.189633,-0.640114
-0.09135,1.051893,0.153492,-0.361011,-0.42735,0.892857,0.321085
-0.157252,-0.209937,0,0.727273,1.152738,0.512821,-0.461648
0.798884,0.633803,1.007752,0.855746,0.725689,1.036269,0.787402
1.515785,0.923952,1.494886,0.4914,0.291121,1.113294,0.866426
-0.671291,-0.565371,-0.78064,-0.367197,-0.290276,-0.521173,0.072254
0.108803,0.497159,-0.155885,-0.365854,-0.577201,0.065189,0.326205
-0.439672,-0.635145,0.078003,0.1221,0,-0.130208,0.181554
0.618709,0.496454,0.627943,0.244798,0.144509,0.655308,0.510949
0.496134,-0.070872,-0.312989,0.122549,0.435414,-0.651042,0.256129
0.599579,0.070922,0.078309,0.369004,0.583942,-0.065062,-0.437158
-0.242483,-0.353357,-0.156372,-0.12285,0,-0.129955,-0.435256
0.382968,-0.352113,0.471328,-0.122699,0,0.260586,-0.253256
1.198804,1.211689,1.272872,1.116625,0.735294,1.454065,1.617647
-0.895124,-1.68185,-1.489028,-1.104294,-0.729927,-1.753247,-2.087833
-0.181948,0.210674,-0.078309,-0.4884,-0.291121,-0.259067,-0.394407
0.100823,0.992908,0.551181,-0.606796,-0.578871,0.717547,1.676996
0.205319,0.42735,0.23678,0,-0.144509,0,-0.218261
-0.055373,1.591896,0.795545,-0.242131,0.144718,0.921659,1.928068
-0.672943,-0.789663,-0.475059,-0.120919,0,-0.848564,-0.918442
-0.470134,-1.135557,-0.551181,-0.600962,-0.432277,-0.777202,-1.555154
-0.455172,-0.353607,-0.392157,0.240964,0.289017,-0.129366,-0.646784
0.843677,0.354862,0.235849,0.241546,0,0.38961,0.760319
0.506823,0.427655,0.632911,0.729927,0.581395,0.653595,-0.108499
0.087796,0.645624,0.31746,0.611995,0.291545,1.123596,1.244965
0.19222,-0.286123,0.318471,0.122549,0.292398,-0.132013,-0.582454
-0.515347,-1.061571,-0.238284,0,0.293255,-0.980392,-1.611748
-0.589638,-0.141343,-0.158604,-1.090909,-0.872093,-0.649351,-0.321314
0.433629,0.640114,0.478088,0.243013,0.584795,0.260417,1.44875
-0.492674,0,-0.159109,0.981595,0.736377,-0.130039,-0.504505
0.391155,0.860832,0.479616,0.866337,0.295421,0.522876,1.277372
2.038528,1.751825,1.707317,0.74813,0.744048,1.526211,0.735294
-0.45968,0.219459,0.244499,0,0.149031,0.466667,-0.3663
-0.736588,-0.942029,-1.682692,-0.619579,-0.886263,-2.152642,-1.408451
0.313869,0.217865,0.160514,0.373134,0.296296,-0.260247,0.39884
1.140835,0.291333,0.241352,0.625782,0.297177,-0.324254,0.108893
-0.725494,-0.65123,-0.080386,-0.374065,-0.148368,0.064893,-1.006109
0.138067,0.875912,-0.080321,0,-0.295858,-0.2589,2.203452
0.243854,-0.508351,-0.240385,-0.372671,-0.14771,-0.515132,0.405605
0.191495,-0.217391,0,0.249066,0.147929,-0.192802,-1.310044
0.12562,-0.072411,0.321543,0.249688,-0.294985,0,-0.18162
1.217962,1.172161,1.220504,0.754717,0.593472,1.104613,1.962963
-0.888771,-0.292184,-0.807103,0.125945,-0.295858,-0.323834,-1.351845
-0.310764,-1.083815,-0.241546,0.252525,0.445765,-0.064725,-1.582165
